#TYPE=EXTENDED
#OBSCODE=HMB
#SOFTWARE=https://github.com/mrosseel/vast-automation
#DELIM=,
#DATE=JD
#OBSTYPE=CCD
#Observation site Latitude = -22 57 13
#Observation site Longitude = -68 10 43
#NAME,DATE,MAG,MERR,FILT,TRANS,MTYPE,CNAME,CMAG,KNAME,KMAG,AMASS,GROUP,CHART,NOTES
UCAC4 118-065894,2458600.52638,12.081,0.022,V,NO,STD,ENSEMBLE,na,UCAC4 119-063312,20.342,1.51,na,na,Standard mag: K = 13.415
UCAC4 118-065894,2458600.52711,12.095,0.020,V,NO,STD,ENSEMBLE,na,UCAC4 119-063312,20.331,1.51,na,na,Standard mag: K = 13.415
UCAC4 118-065894,2458600.53491,12.091,0.020,V,NO,STD,ENSEMBLE,na,UCAC4 119-063312,20.334,1.49,na,na,Standard mag: K = 13.415
UCAC4 118-065894,2458600.53831,12.084,0.020,V,NO,STD,ENSEMBLE,na,UCAC4 119-063312,20.328,1.48,na,na,Standard mag: K = 13.415
UCAC4 118-065894,2458600.54170,12.084,0.021,V,NO,STD,ENSEMBLE,na,UCAC4 119-063312,20.333,1.47,na,na,Standard mag: K = 13.415
UCAC4 118-065894,2458600.54510,12.093,0.020,V,NO,STD,ENSEMBLE,na,UCAC4 119-063312,20.341,1.46,na,na,Standard mag: K = 13.415
UCAC4 118-065894,2458600.54852,12.080,0.020,V,NO,STD,ENSEMBLE,na,UCAC4 119-063312,20.329,1.45,na,na,Standard mag: K = 13.415
UCAC4 118-065894,2458600.55190,12.077,0.022,V,NO,STD,ENSEMBLE,na,UCAC4 119-063312,20.349,1.45,na,na,Standard mag: K = 13.415
UCAC4 118-065894,2458600.55801,12.078,0.021,V,NO,STD,ENSEMBLE,na,UCAC4 119-063312,20.342,1.44,na,na,Standard mag: K = 13.415
UCAC4 118-065894,2458600.55874,12.098,0.020,V,NO,STD,ENSEMBLE,na,UCAC4 119-063312,20.327,1.43,na,na,Standard mag: K = 13.415
UCAC4 118-065894,2458600.56306,12.071,0.022,V,NO,STD,ENSEMBLE,na,UCAC4 119-063312,20.319,1.43,na,na,Standard mag: K = 13.415
UCAC4 118-065894,2458600.56380,12.090,0.021,V,NO,STD,ENSEMBLE,na,UCAC4 119-063312,20.344,1.43,na,na,Standard mag: K = 13.415
UCAC4 118-065894,2458600.56811,12.092,0.022,V,NO,STD,ENSEMBLE,na,UCAC4 119-063312,20.345,1.42,na,na,Standard mag: K = 13.415
UCAC4 118-065894,2458600.56884,12.086,0.021,V,NO,STD,ENSEMBLE,na,UCAC4 119-063312,20.348,1.42,na,na,Standard mag: K = 13.415
UCAC4 118-065894,2458600.57315,12.089,0.020,V,NO,STD,ENSEMBLE,na,UCAC4 119-063312,20.329,1.41,na,na,Standard mag: K = 13.415
UCAC4 118-065894,2458600.57389,12.089,0.019,V,NO,STD,ENSEMBLE,na,UCAC4 119-063312,20.341,1.41,na,na,Standard mag: K = 13.415
