# resultdir: /home/josch/data/gaia19bld/result/2019_1_bestaper/, vastdir: /home/josch/data/gaia19bld/vast/2019_1_bestaper/, vsx stars: 0, other stars: 39
# our_name,ucac4_name,ucac4_ra,ucac4_dec,minmax,min,max,var_type,period,period_err,epoch
RMH-HMB-47,UCAC4 118-064966,188.8531125,-66.4165592,15.6-16.4,15.6,16.4,L,,,
RMH-HMB-48,UCAC4 122-066562,189.0471147,-65.6911372,14.25-14.35,14.2,14.3,L,,,
RMH-HMB-49,UCAC4 122-066657,189.1419233,-65.7166389,15.5-15.85,15.5,15.8,L,,,
RMH-HMB-50,UCAC4 122-066976,189.4701231,-65.7475700,13.67-13.78,13.7,13.8,L,,,
RMH-HMB-51,UCAC4 121-068109,189.6096506,-65.8220381,12.93-13.0,12.9,13.0,L,,,
RMH-HMB-52,UCAC4 121-068565,189.8979011,-65.9584008,13.53-13.65,13.5,13.7,L,,,
RMH-HMB-53,UCAC4 121-066765,188.6843353,-65.9421464,14.17-14.26,14.2,14.3,L,,,
RMH-HMB-54,UCAC4 121-068170,189.6525511,-65.9845383,15.25-16.75,15.2,16.8,L,,,
RMH-HMB-55,UCAC4 121-068282,189.7156378,-65.9960656,12.26-12.42,12.3,12.4,L,,,
RMH-HMB-56,UCAC4 120-066423,189.9460253,-66.0049467,14.8-15.02,14.8,15.0,L,,,
RMH-HMB-57,UCAC4 120-065327,189.2574394,-66.0103744,14.48-14.55,14.5,14.6,L,,,
RMH-HMB-58,UCAC4 120-066167,189.7729053,-66.0808928,15.6-16.1,15.6,16.1,L,,,
RMH-HMB-59,UCAC4 120-066018,189.6764214,-66.0796539,14.85-15.22,14.8,15.2,L,,,
RMH-HMB-60,UCAC4 120-065563,189.3887908,-66.0867464,15.18-15.55,25.2,15.6,L,,,
RMH-HMB-61,UCAC4 120-065014,189.0799728,-66.1486028,15.9-16.3,15.9,16.3,L,,,
RMH-HMB-62,UCAC4 119-064406,190.0635692,-66.2022186,13.65-13.75,13.7,13.8,None,0.47345,,
RMH-HMB-63,UCAC4 119-062452,188.8132531,-66.2150558,12.82-12.92,12.8,12.9,None,1.66910,,
RMH-HMB-64,UCAC4 119-063808,189.7206811,-66.2530019,14.65-14.8,14.7,14.8,L,,,
RMH-HMB-65,UCAC4 119-063857,189.7475883,-66.2640950,15.4-15.75,15.4,15.8,L,,,
RMH-HMB-66,UCAC4 119-063492,189.5433956,-66.3027997,14.75-15.1,14.8,15.1,L,,,
RMH-HMB-67,UCAC4 119-064522,190.1305333,-66.3229447,15.1-15.4,15.1,15.4,L,,,
RMH-HMB-68,UCAC4 119-062658,188.9771714,-66.3303736,11.98-12.03,12.0,12.0,None,0.56466,,
RMH-HMB-69,UCAC4 119-062491,188.8405817,-66.3330603,15.25-17.3,15.2,17.3,L,,,
RMH-HMB-70,UCAC4 119-064103,189.8871431,-66.3664217,14.72-14.9,14.7,14.9,L,,,
RMH-HMB-71,UCAC4 119-063585,189.5970639,-66.3821142,13.65-13.72,13.7,13.7,L,,,
RMH-HMB-72,UCAC4 119-063117,189.3277619,-66.3842922,15.17-15.45,15.2,15.4,L,,,
RMH-HMB-73,UCAC4 118-066714,189.8655086,-66.4132017,15.6-15.95,15.6,15.9,L,,,
RMH-HMB-74,UCAC4 118-064946,188.8379447,-66.4085328,15.6-16.0,15.6,16.0,L,,,
RMH-HMB-75,UCAC4 121-067803,189.4094378,-65.9044439,14.17-14.25,14.2,14.2,L,,,
RMH-HMB-76,UCAC4 122-065966,188.5038381,-65.7348753,14.0-14.15,14.0,14.2,L,,,
RMH-HMB-77,UCAC4 118-066432,189.7193347,-66.4318017,16.2-16.95,16.2,16.9,EA,1.34048,0.00090,2458600.775
RMH-HMB-78,UCAC4 120-064206,188.5704558,-66.1082000,16.4-17.35,16.4,17.4,EA,0.93458,0.00029,2458600.475
RMH-HMB-79,UCAC4 118-065894,189.4270800,-66.4639617,12.08-12.17,12.1,12.2,EA,3.64188,0.01437,2458599.835
RMH-HMB-80,UCAC4 118-065193,189.0155142,-66.5034569,12.17-12.3,12.2,12.3,L,,,
RMH-HMB-81,UCAC4 118-066594,189.8012531,-66.5339817,13.3-13.42,13.3,13.4,L,,,
RMH-HMB-82,UCAC4 118-065143,188.9782806,-66.5097656,13.54-13.62,13.5,13.6,None,0.18021,,
RMH-HMB-83,UCAC4 118-064692,188.6568489,-66.5108739,14.35-14.65,14.3,14.7,EA,2.87600,0.04100,2458598.7
RMH-HMB-84,UCAC4 120-063886,188.3699667,-66.0897147,15.7-16.2,15.7,16.2,L,,,
RMH-HMB-85,UCAC4 120-066806,190.2087664,-66.1891061,15.0-15.2,15.0,15.2,L,,,
