# resultdir: /home/josch/data/gaia19bld/result/2019_1_bestaper/, vastdir: /home/josch/data/gaia19bld/vast/2019_1_bestaper/, vsx stars: 0, other stars: 39
# our_name,ra,dec,ucac4_name,ucac4_force,minmax,min,max,var_type,period,period_err,epoch
RMH-HMB-47,188.8527403,-66.4171466,UCAC4 118-064966,False,15.6-16.4,15.6,16.4,L,,,
RMH-HMB-48,189.0484707,-65.6889580,UCAC4 122-066562,False,14.25-14.35,14.2,14.3,L,,,
RMH-HMB-49,189.1437634,-65.7150552,UCAC4 122-066657,False,15.5-15.85,15.5,15.8,L,,,
RMH-HMB-50,189.4721035,-65.7467779,UCAC4 122-066976,False,13.67-13.78,13.7,13.8,L,,,
RMH-HMB-51,189.6112789,-65.8218292,UCAC4 121-068109,False,12.93-13.0,12.9,13.0,L,,,
RMH-HMB-52,189.8981477,-65.9582749,UCAC4 121-068565,False,13.53-13.65,13.5,13.7,L,,,
RMH-HMB-53,188.6861199,-65.9415453,UCAC4 121-066765,False,14.17-14.26,14.2,14.3,L,,,
RMH-HMB-54,189.6540782,-65.9844004,UCAC4 121-068170,False,15.25-16.75,15.2,16.8,L,,,
RMH-HMB-55,189.7166316,-65.9958726,UCAC4 121-068282,False,12.26-12.42,12.3,12.4,L,,,
RMH-HMB-56,189.9460642,-66.0046920,UCAC4 120-066423,False,14.8-15.02,14.8,15.0,L,,,
RMH-HMB-57,189.2604139,-66.0101183,UCAC4 120-065327,False,14.48-14.55,14.5,14.6,L,,,
RMH-HMB-58,189.7733155,-66.0803424,UCAC4 120-066167,False,15.6-16.1,15.6,16.1,L,,,
RMH-HMB-59,189.6772938,-66.0791466,UCAC4 120-066018,False,14.85-15.22,14.8,15.2,L,,,
RMH-HMB-60,189.3911157,-66.0862116,UCAC4 120-065563,False,15.18-15.55,25.2,15.6,L,,,
RMH-HMB-61,189.0831127,-66.1480189,UCAC4 120-065014,False,15.9-16.3,15.9,16.3,L,,,
RMH-HMB-62,190.0634811,-66.2012760,UCAC4 119-064406,False,13.65-13.75,13.7,13.8,None,0.47345,,
RMH-HMB-63,188.8153418,-66.2148072,UCAC4 119-062452,False,12.82-12.92,12.8,12.9,None,1.66910,,
RMH-HMB-64,189.7213195,-66.2518302,UCAC4 119-063808,False,14.65-14.8,14.7,14.8,L,,,
RMH-HMB-65,189.7481187,-66.2628814,UCAC4 119-063857,False,15.4-15.75,15.4,15.8,L,,,
RMH-HMB-66,189.5446031,-66.3015912,UCAC4 119-063492,False,14.75-15.1,14.8,15.1,L,,,
RMH-HMB-67,190.1309566,-66.3219522,UCAC4 119-064522,False,15.1-15.4,15.1,15.4,L,,,
RMH-HMB-68,188.9785714,-66.3300572,UCAC4 119-062658,False,11.98-12.03,12.0,12.0,None,0.56466,,
RMH-HMB-69,188.8404369,-66.3369917,UCAC4 119-062491,False,15.25-17.3,15.2,17.3,L,,,
RMH-HMB-70,189.8878207,-66.3653159,UCAC4 119-064103,False,14.72-14.9,14.7,14.9,L,,,
RMH-HMB-71,189.5979654,-66.3810111,UCAC4 119-063585,False,13.65-13.72,13.7,13.7,L,,,
RMH-HMB-72,189.3291578,-66.3834106,UCAC4 119-063117,False,15.17-15.45,15.2,15.4,L,,,
RMH-HMB-73,189.8663562,-66.4119905,UCAC4 118-066714,False,15.6-15.95,15.6,15.9,L,,,
RMH-HMB-74,188.8371805,-66.4090910,UCAC4 118-064946,False,15.6-16.0,15.6,16.0,L,,,
RMH-HMB-75,189.4117424,-65.9043814,UCAC4 121-067803,False,14.17-14.25,14.2,14.2,L,,,
RMH-HMB-76,188.5014499,-65.7319796,UCAC4 122-065966,False,14.0-14.15,14.0,14.2,L,,,
RMH-HMB-77,189.7204409,-66.4310567,UCAC4 118-066432,False,16.2-16.95,16.2,16.9,EA,1.34048,0.00090,2458600.775
RMH-HMB-78,188.5714293,-66.1080798,UCAC4 120-064206,False,16.4-17.35,16.4,17.4,EA,0.93458,0.00029,2458600.475
RMH-HMB-79,189.4278093,-66.4635188,UCAC4 118-065894,False,12.08-12.17,12.1,12.2,EA,3.64188,0.01437,2458599.835
RMH-HMB-80,189.0153333,-66.5034910,UCAC4 118-065193,False,12.17-12.3,12.2,12.3,L,,,
RMH-HMB-81,189.8022813,-66.5329941,UCAC4 118-066594,False,13.3-13.42,13.3,13.4,L,,,
RMH-HMB-82,188.9777501,-66.5099581,UCAC4 118-065143,False,13.54-13.62,13.5,13.6,None,0.18021,,
RMH-HMB-83,188.6534066,-66.5124177,UCAC4 118-064692,False,14.35-14.65,14.3,14.7,EA,2.87600,0.04100,2458598.7
RMH-HMB-84,188.3692745,-66.0897481,UCAC4 120-063886,False,15.7-16.2,15.7,16.2,L,,,
RMH-HMB-85,190.2090200,-66.1885154,UCAC4 120-066806,False,15.0-15.2,15.0,15.2,L,,,
