#TYPE=EXTENDED
#OBSCODE=RMH
#SOFTWARE=https://github.com/mrosseel/vast-automation
#DELIM=,
#DATE=JD
#OBSTYPE=CCD
#Observation site Latitude = -22 57 10
#Observation site Longitude = -68 10 49
#NAME,DATE,MAG,MERR,FILT,TRANS,MTYPE,CNAME,CMAG,KNAME,KMAG,AMASS,GROUP,CHART,NOTES
UCAC4 230-161242,2456412.73057,15.045,0.064,V,NO,STD,ENSEMBLE,na,UCAC4 230-161277,na,1.27,na,na,Standard mag: K = 12.726
UCAC4 230-161242,2456412.73417,15.129,0.062,V,NO,STD,ENSEMBLE,na,UCAC4 230-161277,na,1.25,na,na,Standard mag: K = 12.726
UCAC4 230-161242,2456412.73774,15.022,0.059,V,NO,STD,ENSEMBLE,na,UCAC4 230-161277,na,1.24,na,na,Standard mag: K = 12.726
UCAC4 230-161242,2456412.74133,15.083,0.063,V,NO,STD,ENSEMBLE,na,UCAC4 230-161277,na,1.23,na,na,Standard mag: K = 12.726
UCAC4 230-161242,2456412.74492,15.040,0.063,V,NO,STD,ENSEMBLE,na,UCAC4 230-161277,na,1.21,na,na,Standard mag: K = 12.726
UCAC4 230-161242,2456412.75208,14.957,0.050,V,NO,STD,ENSEMBLE,na,UCAC4 230-161277,na,1.19,na,na,Standard mag: K = 12.726
UCAC4 230-161242,2456412.75567,15.034,0.054,V,NO,STD,ENSEMBLE,na,UCAC4 230-161277,na,1.18,na,na,Standard mag: K = 12.726
UCAC4 230-161242,2456412.75926,15.059,0.059,V,NO,STD,ENSEMBLE,na,UCAC4 230-161277,na,1.17,na,na,Standard mag: K = 12.726
UCAC4 230-161242,2456412.76285,15.101,0.054,V,NO,STD,ENSEMBLE,na,UCAC4 230-161277,19.016,1.16,na,na,Standard mag: K = 12.726
UCAC4 230-161242,2456412.76644,15.087,0.059,V,NO,STD,ENSEMBLE,na,UCAC4 230-161277,na,1.15,na,na,Standard mag: K = 12.726
UCAC4 230-161242,2456412.77361,15.010,0.063,V,NO,STD,ENSEMBLE,na,UCAC4 230-161277,19.010,1.14,na,na,Standard mag: K = 12.726
UCAC4 230-161242,2456412.77721,15.072,0.059,V,NO,STD,ENSEMBLE,na,UCAC4 230-161277,na,1.13,na,na,Standard mag: K = 12.726
UCAC4 230-161242,2456412.78080,15.130,0.060,V,NO,STD,ENSEMBLE,na,UCAC4 230-161277,19.026,1.12,na,na,Standard mag: K = 12.726
