#TYPE=EXTENDED
#OBSCODE=HMB
#SOFTWARE=https://github.com/mrosseel/vast-automation
#DELIM=,
#DATE=JD
#OBSTYPE=CCD
#Observation site Latitude = -22 57 13
#Observation site Longitude = -68 10 43
#NAME,DATE,MAG,MERR,FILT,TRANS,MTYPE,CNAME,CMAG,KNAME,KMAG,AMASS,GROUP,CHART,NOTES
UCAC4 373-033272,2458404.77223,14.381,0.022,V,NO,STD,ENSEMBLE,na,UCAC4 372-031474,18.507,1.91,na,na,Standard mag: K = 12.511
UCAC4 373-033272,2458404.77438,14.344,0.021,V,NO,STD,ENSEMBLE,na,UCAC4 372-031474,18.514,1.87,na,na,Standard mag: K = 12.511
UCAC4 373-033272,2458404.77648,14.362,0.021,V,NO,STD,ENSEMBLE,na,UCAC4 372-031474,18.509,1.84,na,na,Standard mag: K = 12.511
UCAC4 373-033272,2458404.77860,14.393,0.021,V,NO,STD,ENSEMBLE,na,UCAC4 372-031474,18.500,1.80,na,na,Standard mag: K = 12.511
UCAC4 373-033272,2458404.78072,14.378,0.021,V,NO,STD,ENSEMBLE,na,UCAC4 372-031474,18.511,1.77,na,na,Standard mag: K = 12.511
UCAC4 373-033272,2458404.78284,14.345,0.023,V,NO,STD,ENSEMBLE,na,UCAC4 372-031474,18.491,1.74,na,na,Standard mag: K = 12.511
UCAC4 373-033272,2458404.78494,14.424,0.021,V,NO,STD,ENSEMBLE,na,UCAC4 372-031474,18.514,1.71,na,na,Standard mag: K = 12.511
UCAC4 373-033272,2458404.78699,14.380,0.021,V,NO,STD,ENSEMBLE,na,UCAC4 372-031474,18.518,1.68,na,na,Standard mag: K = 12.511
UCAC4 373-033272,2458404.78904,14.377,0.021,V,NO,STD,ENSEMBLE,na,UCAC4 372-031474,18.502,1.66,na,na,Standard mag: K = 12.511
UCAC4 373-033272,2458404.79108,14.329,0.019,V,NO,STD,ENSEMBLE,na,UCAC4 372-031474,18.509,1.63,na,na,Standard mag: K = 12.511
UCAC4 373-033272,2458404.79311,14.374,0.020,V,NO,STD,ENSEMBLE,na,UCAC4 372-031474,18.507,1.61,na,na,Standard mag: K = 12.511
UCAC4 373-033272,2458404.79515,14.389,0.020,V,NO,STD,ENSEMBLE,na,UCAC4 372-031474,18.504,1.58,na,na,Standard mag: K = 12.511
UCAC4 373-033272,2458404.79719,14.396,0.020,V,NO,STD,ENSEMBLE,na,UCAC4 372-031474,18.513,1.56,na,na,Standard mag: K = 12.511
UCAC4 373-033272,2458404.79922,14.326,0.019,V,NO,STD,ENSEMBLE,na,UCAC4 372-031474,18.495,1.54,na,na,Standard mag: K = 12.511
UCAC4 373-033272,2458404.80126,14.365,0.020,V,NO,STD,ENSEMBLE,na,UCAC4 372-031474,18.507,1.52,na,na,Standard mag: K = 12.511
UCAC4 373-033272,2458404.80331,14.393,0.020,V,NO,STD,ENSEMBLE,na,UCAC4 372-031474,18.497,1.50,na,na,Standard mag: K = 12.511
UCAC4 373-033272,2458404.80535,14.379,0.021,V,NO,STD,ENSEMBLE,na,UCAC4 372-031474,18.495,1.48,na,na,Standard mag: K = 12.511
UCAC4 373-033272,2458404.80738,14.381,0.020,V,NO,STD,ENSEMBLE,na,UCAC4 372-031474,18.500,1.46,na,na,Standard mag: K = 12.511
UCAC4 373-033272,2458404.80942,14.343,0.019,V,NO,STD,ENSEMBLE,na,UCAC4 372-031474,18.495,1.44,na,na,Standard mag: K = 12.511
UCAC4 373-033272,2458404.81146,14.337,0.019,V,NO,STD,ENSEMBLE,na,UCAC4 372-031474,18.495,1.43,na,na,Standard mag: K = 12.511
UCAC4 373-033272,2458404.81350,14.369,0.020,V,NO,STD,ENSEMBLE,na,UCAC4 372-031474,18.498,1.41,na,na,Standard mag: K = 12.511
UCAC4 373-033272,2458404.81554,14.348,0.019,V,NO,STD,ENSEMBLE,na,UCAC4 372-031474,18.495,1.39,na,na,Standard mag: K = 12.511
UCAC4 373-033272,2458404.81759,14.375,0.020,V,NO,STD,ENSEMBLE,na,UCAC4 372-031474,18.509,1.38,na,na,Standard mag: K = 12.511
UCAC4 373-033272,2458404.81964,14.361,0.019,V,NO,STD,ENSEMBLE,na,UCAC4 372-031474,18.507,1.36,na,na,Standard mag: K = 12.511
UCAC4 373-033272,2458404.82168,14.392,0.020,V,NO,STD,ENSEMBLE,na,UCAC4 372-031474,18.493,1.35,na,na,Standard mag: K = 12.511
UCAC4 373-033272,2458404.82372,14.399,0.023,V,NO,STD,ENSEMBLE,na,UCAC4 372-031474,18.487,1.33,na,na,Standard mag: K = 12.511
UCAC4 373-033272,2458404.82575,14.371,0.020,V,NO,STD,ENSEMBLE,na,UCAC4 372-031474,18.492,1.32,na,na,Standard mag: K = 12.511
UCAC4 373-033272,2458404.82779,14.356,0.019,V,NO,STD,ENSEMBLE,na,UCAC4 372-031474,18.499,1.31,na,na,Standard mag: K = 12.511
UCAC4 373-033272,2458404.82984,14.400,0.019,V,NO,STD,ENSEMBLE,na,UCAC4 372-031474,18.494,1.29,na,na,Standard mag: K = 12.511
UCAC4 373-033272,2458404.83189,14.380,0.019,V,NO,STD,ENSEMBLE,na,UCAC4 372-031474,18.509,1.28,na,na,Standard mag: K = 12.511
UCAC4 373-033272,2458404.83392,14.379,0.019,V,NO,STD,ENSEMBLE,na,UCAC4 372-031474,18.498,1.27,na,na,Standard mag: K = 12.511
UCAC4 373-033272,2458404.83596,14.406,0.020,V,NO,STD,ENSEMBLE,na,UCAC4 372-031474,18.483,1.26,na,na,Standard mag: K = 12.511
UCAC4 373-033272,2458404.83799,14.375,0.018,V,NO,STD,ENSEMBLE,na,UCAC4 372-031474,18.510,1.25,na,na,Standard mag: K = 12.511
UCAC4 373-033272,2458404.84002,14.359,0.019,V,NO,STD,ENSEMBLE,na,UCAC4 372-031474,18.504,1.24,na,na,Standard mag: K = 12.511
UCAC4 373-033272,2458404.84208,14.381,0.019,V,NO,STD,ENSEMBLE,na,UCAC4 372-031474,18.496,1.22,na,na,Standard mag: K = 12.511
UCAC4 373-033272,2458404.84412,14.370,0.019,V,NO,STD,ENSEMBLE,na,UCAC4 372-031474,18.481,1.21,na,na,Standard mag: K = 12.511
