#TYPE=EXTENDED
#OBSCODE=ZZZ
#SOFTWARE=munipack-automation
#DELIM=,
#DATE=JD
#OBSTYPE=CCD
#NAME,DATE,MAG,MERR,FILT,TRANS,MTYPE,CNAME,CMAG,KNAME,KMAG,AMASS,GROUP,CHART,NOTES
UCAC4 229-162766,2456899.55435,16.51408,0.173374,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.108744,na,na,na
UCAC4 229-162766,2456899.56405,16.229972,0.154972,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.125241,na,na,na
UCAC4 229-162766,2456899.57620,16.585814,0.171658,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.150888,na,na,na
UCAC4 229-162766,2456899.57862,16.390559,0.149917,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.156701,na,na,na
UCAC4 229-162766,2456899.58104,15.939883,0.100484,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.162759,na,na,na
UCAC4 229-162766,2456899.58348,15.82754,0.0891286,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.169121,na,na,na
UCAC4 229-162766,2456903.52431,16.207203,0.143003,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.085712,na,na,na
UCAC4 229-162766,2456903.55413,16.014207,0.132335,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.127142,na,na,na
UCAC4 229-162766,2456903.57506,15.347103,0.0741969,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.175916,na,na,na
UCAC4 229-162766,2456904.50384,16.202436,0.157107,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.074808,na,na,na
UCAC4 229-162766,2456904.52174,16.088785,0.159531,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.085855,na,na,na
UCAC4 229-162766,2456904.56652,15.911424,0.125444,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.160561,na,na,na
UCAC4 229-162766,2456905.49498,16.336501,0.183395,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.073284,na,na,na
UCAC4 229-162766,2456905.49795,15.993843,0.142583,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.07388,na,na,na
UCAC4 229-162766,2456905.54271,16.267488,0.187348,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.116389,na,na,na
UCAC4 229-162766,2456906.49953,16.500893,0.211321,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.075222,na,na,na
