#TYPE=EXTENDED
#OBSCODE=ZZZ
#SOFTWARE=munipack-automation
#DELIM=,
#DATE=JD
#OBSTYPE=CCD
#NAME,DATE,MAG,MERR,FILT,TRANS,MTYPE,CNAME,CMAG,KNAME,KMAG,AMASS,GROUP,CHART,NOTES
ASAS J180706-4347.3,2456885.49537,13.451825,0.0122433,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.106742,na,na,na
ASAS J180706-4347.3,2456885.49882,13.453246,0.0125017,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.101601,na,na,na
ASAS J180706-4347.3,2456885.50226,13.442549,0.0126028,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.096883,na,na,na
ASAS J180706-4347.3,2456885.50569,13.427384,0.0122999,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.092576,na,na,na
ASAS J180706-4347.3,2456885.50913,13.443274,0.0118059,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.08865,na,na,na
ASAS J180706-4347.3,2456885.51257,13.434743,0.012527,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.085111,na,na,na
ASAS J180706-4347.3,2456885.51602,13.424719,0.0124103,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.081944,na,na,na
ASAS J180706-4347.3,2456885.51946,13.463451,0.0124466,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.079162,na,na,na
ASAS J180706-4347.3,2456885.52292,13.424662,0.0124542,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.07674,na,na,na
ASAS J180706-4347.3,2456885.52623,13.433754,0.0112509,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.074772,na,na,na
ASAS J180706-4347.3,2456885.52944,13.432081,0.0118368,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.073185,na,na,na
ASAS J180706-4347.3,2456885.53266,13.423156,0.0118667,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.071911,na,na,na
ASAS J180706-4347.3,2456885.53588,13.444884,0.0115603,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.070953,na,na,na
ASAS J180706-4347.3,2456885.53909,13.414816,0.0116335,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.070311,na,na,na
ASAS J180706-4347.3,2456885.54230,13.4298,0.012043,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.069981,na,na,na
ASAS J180706-4347.3,2456885.54552,13.437781,0.0120451,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.069962,na,na,na
ASAS J180706-4347.3,2456885.54874,13.434569,0.0112344,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.070257,na,na,na
ASAS J180706-4347.3,2456885.55196,13.429669,0.0122864,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.070866,na,na,na
ASAS J180706-4347.3,2456885.55517,13.458617,0.0115333,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.071785,na,na,na
ASAS J180706-4347.3,2456885.55839,13.459667,0.0113976,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.073023,na,na,na
ASAS J180706-4347.3,2456885.56161,13.447497,0.0126891,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.074578,na,na,na
ASAS J180706-4347.3,2456885.56483,13.430538,0.0117066,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.076453,na,na,na
