#TYPE=EXTENDED
#OBSCODE=ZZZ
#SOFTWARE=munipack-automation
#DELIM=,
#DATE=JD
#OBSTYPE=CCD
#NAME,DATE,MAG,MERR,FILT,TRANS,MTYPE,CNAME,CMAG,KNAME,KMAG,AMASS,GROUP,CHART,NOTES
IY CrA,2456885.49537,12.747417,0.00850443,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.103381,na,na,na
IY CrA,2456885.49882,12.740545,0.00863953,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.098378,na,na,na
IY CrA,2456885.50226,12.763363,0.00867956,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.093795,na,na,na
IY CrA,2456885.50569,12.746433,0.00863512,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.089622,na,na,na
IY CrA,2456885.50913,12.733968,0.00823048,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.085828,na,na,na
IY CrA,2456885.51257,12.742039,0.00879752,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.082418,na,na,na
IY CrA,2456885.51602,12.750888,0.00861237,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.07938,na,na,na
IY CrA,2456885.51946,12.730018,0.00868675,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.076727,na,na,na
IY CrA,2456885.52292,12.740857,0.00877591,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.074432,na,na,na
IY CrA,2456885.52623,12.727427,0.00804703,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.072584,na,na,na
IY CrA,2456885.52944,12.742515,0.00848568,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.071114,na,na,na
IY CrA,2456885.53266,12.736898,0.00851953,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.069957,na,na,na
IY CrA,2456885.53588,12.728149,0.00819332,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.069115,na,na,na
IY CrA,2456885.53909,12.724922,0.00837974,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.068588,na,na,na
IY CrA,2456885.54230,12.735725,0.00854091,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.068374,na,na,na
IY CrA,2456885.54552,12.726842,0.00853274,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.068472,na,na,na
IY CrA,2456885.54874,12.726215,0.00797458,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.068883,na,na,na
IY CrA,2456885.55196,12.739857,0.00865154,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.069609,na,na,na
IY CrA,2456885.55517,12.73111,0.0080421,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.070646,na,na,na
IY CrA,2456885.55839,12.730084,0.00791082,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.072003,na,na,na
IY CrA,2456885.56161,12.738956,0.00879926,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.073677,na,na,na
IY CrA,2456885.56483,12.735567,0.0082042,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.075673,na,na,na
IY CrA,2456885.56806,12.743126,0.00821205,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.078,na,na,na
IY CrA,2456885.57127,12.743857,0.00829897,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.080638,na,na,na
IY CrA,2456885.57450,12.731822,0.00825452,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.083623,na,na,na
IY CrA,2456885.57773,12.724922,0.00807231,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.086945,na,na,na
IY CrA,2456885.58095,12.751258,0.00828523,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.090597,na,na,na
IY CrA,2456885.58418,12.747456,0.00845014,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.094605,na,na,na
IY CrA,2456885.58741,12.739386,0.00831916,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.098966,na,na,na
IY CrA,2456885.60061,12.742867,0.00861453,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.120585,na,na,na
IY CrA,2456885.60343,12.735371,0.0088592,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.126029,na,na,na
IY CrA,2456885.60624,12.756713,0.00887439,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.131755,na,na,na
IY CrA,2456885.60906,12.754155,0.00873723,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.137811,na,na,na
IY CrA,2456885.61189,12.765943,0.00901265,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.144208,na,na,na
IY CrA,2456885.61470,12.737203,0.00914089,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.150883,na,na,na
IY CrA,2456885.61751,12.75145,0.00922198,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.157888,na,na,na
IY CrA,2456885.62032,12.761008,0.00917191,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.165233,na,na,na
IY CrA,2456885.62314,12.754873,0.00901975,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.172953,na,na,na
IY CrA,2456885.62595,12.750177,0.0094666,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.181004,na,na,na
IY CrA,2456885.62877,12.747723,0.0102805,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.189453,na,na,na
IY CrA,2456886.49332,12.799454,0.00871887,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.102361,na,na,na
IY CrA,2456886.49676,12.804026,0.00870088,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.097453,na,na,na
IY CrA,2456886.50021,12.799658,0.00958182,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.092936,na,na,na
IY CrA,2456886.50366,12.797169,0.00911188,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.088818,na,na,na
IY CrA,2456886.50713,12.810947,0.00867282,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.085072,na,na,na
IY CrA,2456886.51058,12.816217,0.00879987,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.081734,na,na,na
IY CrA,2456886.51402,12.796595,0.00905832,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.078786,na,na,na
IY CrA,2456886.51747,12.832336,0.00943535,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.076204,na,na,na
IY CrA,2456886.52090,12.786621,0.00958493,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.074007,na,na,na
IY CrA,2456886.52422,12.78694,0.00873229,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.072227,na,na,na
IY CrA,2456886.52744,12.788653,0.00877551,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.070824,na,na,na
IY CrA,2456886.53065,12.803864,0.00899366,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.069741,na,na,na
IY CrA,2456886.53388,12.783023,0.00892738,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.068967,na,na,na
IY CrA,2456886.53709,12.788565,0.00874659,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.068512,na,na,na
IY CrA,2456886.54031,12.793457,0.00915974,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.068369,na,na,na
IY CrA,2456886.54354,12.801657,0.00888392,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.06854,na,na,na
IY CrA,2456886.54676,12.806701,0.00900006,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.069024,na,na,na
IY CrA,2456886.54998,12.796741,0.00889663,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.069823,na,na,na
IY CrA,2456886.55321,12.795529,0.00903278,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.070942,na,na,na
IY CrA,2456886.55641,12.799237,0.00867387,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.072365,na,na,na
IY CrA,2456886.55963,12.791497,0.00875928,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.074114,na,na,na
IY CrA,2456886.56286,12.802612,0.00851639,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.076192,na,na,na
IY CrA,2456886.56609,12.801234,0.00842582,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.078595,na,na,na
IY CrA,2456886.56932,12.791607,0.00847772,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.081329,na,na,na
IY CrA,2456886.57252,12.797387,0.00842269,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.084365,na,na,na
IY CrA,2456886.57575,12.800611,0.00883221,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.087766,na,na,na
IY CrA,2456886.57897,12.805422,0.00865902,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.091497,na,na,na
IY CrA,2456886.58219,12.808799,0.00882205,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.095574,na,na,na
IY CrA,2456886.58542,12.811008,0.00880101,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.100016,na,na,na
IY CrA,2456886.59010,12.792702,0.00875822,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.107092,na,na,na
IY CrA,2456886.59294,12.802762,0.00928019,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.111763,na,na,na
IY CrA,2456886.59575,12.799338,0.00900714,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.116672,na,na,na
IY CrA,2456886.59856,12.804507,0.00952679,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.121872,na,na,na
IY CrA,2456886.60139,12.792354,0.00919756,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.127408,na,na,na
IY CrA,2456886.60420,12.795306,0.00940699,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.133209,na,na,na
