#TYPE=EXTENDED
#OBSCODE=ZZZ
#SOFTWARE=munipack-automation
#DELIM=,
#DATE=JD
#OBSTYPE=CCD
#NAME,DATE,MAG,MERR,FILT,TRANS,MTYPE,CNAME,CMAG,KNAME,KMAG,AMASS,GROUP,CHART,NOTES
V0712 CrA,2456885.50569,16.357653,0.136773,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.091068,na,na,na
V0712 CrA,2456885.50913,16.35094,0.129975,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.087181,na,na,na
V0712 CrA,2456885.53909,16.186524,0.114037,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.069176,na,na,na
V0712 CrA,2456885.54552,16.452236,0.150166,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.068898,na,na,na
V0712 CrA,2456885.54874,16.404666,0.132299,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.069229,na,na,na
V0712 CrA,2456885.55839,16.380653,0.127932,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.072105,na,na,na
V0712 CrA,2456885.56483,16.396824,0.138783,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.07561,na,na,na
V0712 CrA,2456885.57450,16.266895,0.125894,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.083305,na,na,na
V0712 CrA,2456885.58418,16.278262,0.130354,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.094021,na,na,na
V0712 CrA,2456885.58741,16.188003,0.116764,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.09829,na,na,na
V0712 CrA,2456885.60061,16.230212,0.127713,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.119514,na,na,na
V0712 CrA,2456885.60624,16.418743,0.159378,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.130503,na,na,na
V0712 CrA,2456885.60906,16.238488,0.133093,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.136466,na,na,na
V0712 CrA,2456885.61189,16.180904,0.129946,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.142766,na,na,na
V0712 CrA,2456886.49332,16.469104,0.153922,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.104074,na,na,na
V0712 CrA,2456886.49676,16.225318,0.121246,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.099069,na,na,na
V0712 CrA,2456886.50366,16.527097,0.17149,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.090245,na,na,na
V0712 CrA,2456886.52422,16.621455,0.186297,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.073119,na,na,na
V0712 CrA,2456886.53388,16.237929,0.13482,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.069617,na,na,na
V0712 CrA,2456886.54354,16.205555,0.129141,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.068947,na,na,na
V0712 CrA,2456886.55321,16.397808,0.158158,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.071106,na,na,na
V0712 CrA,2456886.58542,16.260542,0.133508,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.099319,na,na,na
V0712 CrA,2456886.59010,16.328577,0.143242,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.106258,na,na,na
V0712 CrA,2456887.49535,16.191867,0.128344,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.097256,na,na,na
V0712 CrA,2456887.52899,16.109582,0.117883,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.070153,na,na,na
V0712 CrA,2456887.58052,16.291709,0.166069,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.096358,na,na,na
V0712 CrA,2456888.51584,16.158889,0.132185,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.07474,na,na,na
V0712 CrA,2456888.53516,16.550857,0.173502,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.068852,na,na,na
V0712 CrA,2456888.54483,16.406314,0.155835,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.070156,na,na,na
V0712 CrA,2456888.56093,16.412295,0.143161,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.078661,na,na,na
V0712 CrA,2456888.56416,16.427775,0.137481,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.08134,na,na,na
V0712 CrA,2456888.56737,16.368582,0.134231,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.084332,na,na,na
V0712 CrA,2456888.58028,16.162571,0.116781,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.099771,na,na,na
V0712 CrA,2456888.59291,16.418796,0.147018,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.120427,na,na,na
V0712 CrA,2456888.59571,16.327517,0.135853,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.125794,na,na,na
V0712 CrA,2456888.60416,16.385906,0.138597,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.143825,na,na,na
V0712 CrA,2456888.60978,16.390115,0.139511,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.157415,na,na,na
V0712 CrA,2456889.51816,16.190168,0.115766,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.072101,na,na,na
V0712 CrA,2456889.51988,16.240102,0.121039,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.071381,na,na,na
