#TYPE=EXTENDED
#OBSCODE=ZZZ
#SOFTWARE=munipack-automation
#DELIM=,
#DATE=JD
#OBSTYPE=CCD
#NAME,DATE,MAG,MERR,FILT,TRANS,MTYPE,CNAME,CMAG,KNAME,KMAG,AMASS,GROUP,CHART,NOTES
WISE J180540.7-440542,2456885.49537,15.013894,0.0409793,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.107404,na,na,na
WISE J180540.7-440542,2456885.49882,15.093425,0.0451046,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.102387,na,na,na
WISE J180540.7-440542,2456885.50226,15.098566,0.0458175,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.09779,na,na,na
WISE J180540.7-440542,2456885.50569,15.058787,0.0427895,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.093602,na,na,na
WISE J180540.7-440542,2456885.50913,15.046692,0.039947,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.089792,na,na,na
WISE J180540.7-440542,2456885.51257,15.154234,0.0466035,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.086367,na,na,na
WISE J180540.7-440542,2456885.51602,15.179196,0.0480195,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.083312,na,na,na
WISE J180540.7-440542,2456885.51946,15.185944,0.0481194,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.080641,na,na,na
WISE J180540.7-440542,2456885.52292,15.184629,0.0480189,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.078329,na,na,na
WISE J180540.7-440542,2456885.52623,15.251085,0.0475901,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.076463,na,na,na
WISE J180540.7-440542,2456885.52944,15.212752,0.0482081,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.074976,na,na,na
WISE J180540.7-440542,2456885.53266,15.238119,0.0499299,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.0738,na,na,na
WISE J180540.7-440542,2456885.53588,15.315087,0.051119,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.07294,na,na,na
WISE J180540.7-440542,2456885.53909,15.355939,0.0548653,V,YES,STD,ENSEMBLE,na,TODO,0.0,1.072394,na,na,na
