# our_name,ra,dec,minmax,min,max,var_type,period,period_err,epoch
RMH-HMB-1,271.81612,-43.65387,min: 14.1,14.1,14.8,W Uma,0.36474,0.00004,2456847.73093
RMH-HMB-2,270.85813,-43.95227,max: 17.2,15.2,17.2,RRab,0.48350,0.00051,2456915.52537
RMH-HMB-3,270.88199,-43.60015,max: 17.6,15.7,17.6,RRab,0.59960,0.00052,2456826.78418
RMH-HMB-4,270.90276,-43.79250,max: 16.4,14.7,16.4,RRab,0.54912,0.00021,2456853.57197
RMH-HMB-5,271.09055,-43.63737,min: 14.9,14.9,15.8,W Uma,0.38135,0.00006,2456853.78569
RMH-HMB-6,271.11473,-44.07341,,14.5,15.0,irregular,26.98562,,
RMH-HMB-7,271.16387,-43.60123,max: 16.8,14.9,16.8,RRab,0.42057,0.00008,2456822.82645
RMH-HMB-8,271.18031,-43.84393,max: 15.7,14.4,15.7,RRd,0.37772,0.00015,2456907.54623
RMH-HMB-9,271.19583,-43.69467,max: 17.1,15.3,17.1,RRab,0.71166,0.00037,2456857.58981
RMH-HMB-10,271.37288,-44.14263,max: 16.3,14.7,16.3,RRab,0.62491,0.00027,2456905.53375
RMH-HMB-11,271.47613,-43.99384,max: 17.3,15.4,17.3,RRab,0.42558,0.00011,2456840.72431
RMH-HMB-12,271.54939,-43.77339,,12.8,13.2,irregular,129.93575,,
RMH-HMB-13,271.68249,-43.78229,,13.5,13.9,irregular,59.12890,,
RMH-HMB-14,271.69370,-43.58809,min: 15.6,15.6,17.0,W Uma,0.37098,0.00006,2456880.73701
RMH-HMB-15,271.08156,-44.03081,max: 16.1,14.9,16.1,RRab,0.60255,0.00030,2456842.51572
RMH-HMB-16,271.89352,-44.20688,min: 15.3,15.3,16.6,W Uma,0.43397,0.00009,2456854.81602
RMH-HMB-17,271.15992,-43.48393,min: 14.8,14.8,15.6,W Uma,0.47736,0.00009,2456870.75039
