#TYPE=EXTENDED
#OBSCODE=HMB
#SOFTWARE=https://github.com/mrosseel/vast-automation
#DELIM=,
#DATE=JD
#OBSTYPE=CCD
#Observation site Latitude = -22 57 13
#Observation site Longitude = -68 10 43
#NAME,DATE,MAG,MERR,FILT,TRANS,MTYPE,CNAME,CMAG,KNAME,KMAG,AMASS,GROUP,CHART,NOTES
UCAC4 153-062855,2458566.56730,12.340,0.008,V,NO,STD,ENSEMBLE,na,UCAC4 154-061034,17.375,1.34,na,na,Standard mag: K = 11.992
UCAC4 153-062855,2458566.57053,12.331,0.007,V,NO,STD,ENSEMBLE,na,UCAC4 154-061034,17.384,1.33,na,na,Standard mag: K = 11.992
UCAC4 153-062855,2458566.57375,12.314,0.007,V,NO,STD,ENSEMBLE,na,UCAC4 154-061034,17.381,1.32,na,na,Standard mag: K = 11.992
UCAC4 153-062855,2458566.57699,12.307,0.007,V,NO,STD,ENSEMBLE,na,UCAC4 154-061034,17.391,1.32,na,na,Standard mag: K = 11.992
UCAC4 153-062855,2458566.58022,12.295,0.007,V,NO,STD,ENSEMBLE,na,UCAC4 154-061034,17.377,1.31,na,na,Standard mag: K = 11.992
UCAC4 153-062855,2458566.58343,12.271,0.007,V,NO,STD,ENSEMBLE,na,UCAC4 154-061034,17.385,1.30,na,na,Standard mag: K = 11.992
UCAC4 153-062855,2458566.58667,12.278,0.007,V,NO,STD,ENSEMBLE,na,UCAC4 154-061034,17.376,1.30,na,na,Standard mag: K = 11.992
UCAC4 153-062855,2458566.58991,12.267,0.007,V,NO,STD,ENSEMBLE,na,UCAC4 154-061034,17.391,1.29,na,na,Standard mag: K = 11.992
UCAC4 153-062855,2458566.59315,12.263,0.007,V,NO,STD,ENSEMBLE,na,UCAC4 154-061034,17.379,1.29,na,na,Standard mag: K = 11.992
UCAC4 153-062855,2458566.59639,12.249,0.007,V,NO,STD,ENSEMBLE,na,UCAC4 154-061034,17.377,1.28,na,na,Standard mag: K = 11.992
UCAC4 153-062855,2458566.59962,12.238,0.007,V,NO,STD,ENSEMBLE,na,UCAC4 154-061034,17.381,1.28,na,na,Standard mag: K = 11.992
UCAC4 153-062855,2458566.60284,12.238,0.007,V,NO,STD,ENSEMBLE,na,UCAC4 154-061034,17.382,1.27,na,na,Standard mag: K = 11.992
UCAC4 153-062855,2458566.60604,12.230,0.007,V,NO,STD,ENSEMBLE,na,UCAC4 154-061034,17.379,1.27,na,na,Standard mag: K = 11.992
UCAC4 153-062855,2458566.60928,12.215,0.007,V,NO,STD,ENSEMBLE,na,UCAC4 154-061034,17.391,1.26,na,na,Standard mag: K = 11.992
UCAC4 153-062855,2458566.61251,12.211,0.007,V,NO,STD,ENSEMBLE,na,UCAC4 154-061034,17.384,1.26,na,na,Standard mag: K = 11.992
UCAC4 153-062855,2458566.61575,12.178,0.008,V,NO,STD,ENSEMBLE,na,UCAC4 154-061034,17.396,1.26,na,na,Standard mag: K = 11.992
UCAC4 153-062855,2458567.56426,12.078,0.007,V,NO,STD,ENSEMBLE,na,UCAC4 154-061034,17.378,1.34,na,na,Standard mag: K = 11.992
UCAC4 153-062855,2458567.56748,12.070,0.007,V,NO,STD,ENSEMBLE,na,UCAC4 154-061034,17.369,1.33,na,na,Standard mag: K = 11.992
UCAC4 153-062855,2458567.57072,12.061,0.006,V,NO,STD,ENSEMBLE,na,UCAC4 154-061034,17.384,1.32,na,na,Standard mag: K = 11.992
UCAC4 153-062855,2458567.57397,12.057,0.007,V,NO,STD,ENSEMBLE,na,UCAC4 154-061034,17.378,1.32,na,na,Standard mag: K = 11.992
UCAC4 153-062855,2458567.57721,12.065,0.007,V,NO,STD,ENSEMBLE,na,UCAC4 154-061034,17.376,1.31,na,na,Standard mag: K = 11.992
UCAC4 153-062855,2458567.58044,12.067,0.007,V,NO,STD,ENSEMBLE,na,UCAC4 154-061034,17.378,1.30,na,na,Standard mag: K = 11.992
UCAC4 153-062855,2458567.58368,12.072,0.007,V,NO,STD,ENSEMBLE,na,UCAC4 154-061034,17.382,1.30,na,na,Standard mag: K = 11.992
UCAC4 153-062855,2458567.58690,12.058,0.007,V,NO,STD,ENSEMBLE,na,UCAC4 154-061034,17.383,1.29,na,na,Standard mag: K = 11.992
UCAC4 153-062855,2458567.59014,12.062,0.007,V,NO,STD,ENSEMBLE,na,UCAC4 154-061034,17.383,1.29,na,na,Standard mag: K = 11.992
UCAC4 153-062855,2458567.59338,12.057,0.007,V,NO,STD,ENSEMBLE,na,UCAC4 154-061034,17.389,1.28,na,na,Standard mag: K = 11.992
UCAC4 153-062855,2458567.59661,12.048,0.007,V,NO,STD,ENSEMBLE,na,UCAC4 154-061034,17.380,1.28,na,na,Standard mag: K = 11.992
UCAC4 153-062855,2458567.59984,12.064,0.007,V,NO,STD,ENSEMBLE,na,UCAC4 154-061034,17.389,1.27,na,na,Standard mag: K = 11.992
UCAC4 153-062855,2458567.60306,12.056,0.007,V,NO,STD,ENSEMBLE,na,UCAC4 154-061034,17.385,1.27,na,na,Standard mag: K = 11.992
UCAC4 153-062855,2458567.60631,12.038,0.007,V,NO,STD,ENSEMBLE,na,UCAC4 154-061034,17.390,1.26,na,na,Standard mag: K = 11.992
UCAC4 153-062855,2458567.60954,12.042,0.007,V,NO,STD,ENSEMBLE,na,UCAC4 154-061034,17.383,1.26,na,na,Standard mag: K = 11.992
UCAC4 153-062855,2458567.61274,12.056,0.007,V,NO,STD,ENSEMBLE,na,UCAC4 154-061034,17.385,1.26,na,na,Standard mag: K = 11.992
UCAC4 153-062855,2458568.56146,12.276,0.007,V,NO,STD,ENSEMBLE,na,UCAC4 154-061034,17.380,1.34,na,na,Standard mag: K = 11.992
UCAC4 153-062855,2458568.56469,12.293,0.007,V,NO,STD,ENSEMBLE,na,UCAC4 154-061034,17.386,1.33,na,na,Standard mag: K = 11.992
UCAC4 153-062855,2458568.56792,12.288,0.007,V,NO,STD,ENSEMBLE,na,UCAC4 154-061034,17.379,1.32,na,na,Standard mag: K = 11.992
UCAC4 153-062855,2458568.57115,12.281,0.007,V,NO,STD,ENSEMBLE,na,UCAC4 154-061034,17.370,1.32,na,na,Standard mag: K = 11.992
UCAC4 153-062855,2458568.57439,12.278,0.007,V,NO,STD,ENSEMBLE,na,UCAC4 154-061034,17.378,1.31,na,na,Standard mag: K = 11.992
UCAC4 153-062855,2458568.57762,12.287,0.007,V,NO,STD,ENSEMBLE,na,UCAC4 154-061034,17.377,1.30,na,na,Standard mag: K = 11.992
UCAC4 153-062855,2458568.58084,12.292,0.007,V,NO,STD,ENSEMBLE,na,UCAC4 154-061034,17.379,1.30,na,na,Standard mag: K = 11.992
UCAC4 153-062855,2458568.58407,12.295,0.007,V,NO,STD,ENSEMBLE,na,UCAC4 154-061034,17.391,1.29,na,na,Standard mag: K = 11.992
