# resultdir: /home/josch/data/txcar/result/2019/, vastdir: /home/josch/data/txcar/vast/2019/, vsx stars: 0, other stars: 60
# our_name,local_id,ucac4_name,ucac4_force,minmax,min,max,var_type,period,period_err,epoch
RMH-HMB86,500,UCAC4 153-060597,False,12.45-12.60,12.4,12.6,L,-1,,
RMH-HMB87,583,UCAC4 153-062649,False,15.08-15.69,15.1,15.7,EW,0.46750,,2458566.14
RMH-HMB88,762,UCAC4 157-056548,False,13.46-13.61,13.5,13.6,L,-1,,
RMH-HMB89,1047,UCAC4 157-056769,False,14.89-15.23,14.9,15.2,L,-1,,
RMH-HMB90,1260,UCAC4 157-056006,False,13.89-14.01,13.9,14.0,L,-1,,
RMH-HMB91,1305,UCAC4 156-056927,False,11.28-11.37,11.3,11.4,GDOR,0.52049,,2458560.0
RMH-HMB92,1490,UCAC4 156-056531,False,12.80-12.91,12.8,12.9,L,-1,,
RMH-HMB93,1750,UCAC4 156-057018,False,13.65-13.77,13.7,13.8,L,-1,,
RMH-HMB94,3381,UCAC4 155-059706,False,12.42-12.51,12.4,12.5,L,-1,,
RMH-HMB95,3544,UCAC4 155-061726,False,13.51-13.59,13.5,13.6,BY?,11.28474,,
RMH-HMB96,3727,UCAC4 155-059772,False,14.81-15.18,14.8,15.2,EA,0.97933,,2458566.56
RMH-HMB97,4057,UCAC4 155-059227,False,13.78-13.92,13.8,13.9,L,-1,,
RMH-HMB98,4255,UCAC4 155-061977,False,14.22-14.92,14.2,14.8,L,-1,,
RMH-HMB99,4388,UCAC4 155-061348,False,13.36-13.45,13.4,13.4,BY?,3.34215,,2458564.8
RMH-HMB100,4539,UCAC4 155-061079,False,13.15-13.27,13.2,13.2,L,-1,,
RMH-HMB101,4751,UCAC4 155-060388,False,12.56-12.62,12.6,12.6,GDOR,0.29461,,2458566.4
RMH-HMB102,5493,UCAC4 154-061328,False,13.27-13.69,13.3,13.6,CEP,24.39024,,2458559.0
RMH-HMB103,5546,UCAC4 154-061079,False,15.14-15.76,15.2,15.6,EW,0.29762,,2458566.38
RMH-HMB104,5611,UCAC4 155-060022,False,14.89-15.20,14.9,15.2,EA,2.56623,,2458566.7
RMH-HMB105,6264,UCAC4 154-059149,False,12.93-13.00,12.9,13.0,GDOR?,0.57708,,2458566.49
RMH-HMB106,6693,UCAC4 154-061447,False,13.20-13.45,13.5,13.4,L,-1,,
RMH-HMB107,6731,UCAC4 154-059353,False,14.41-14.69,14.4,14.7,L,-1,,
RMH-HMB108,6862,UCAC4 154-060284,False,11.67-11.72,11.7,11.7,DSCT,0.07427,,2458566.395
RMH-HMB109,6979,UCAC4 154-061400,False,14.46-14.72,14.4,14.7,L,-1,,
RMH-HMB110,7023,UCAC4 154-060486,False,13.06-13.12,13.1,13.1,GDOR,0.73421,,2458566.43
RMH-HMB111,7056,UCAC4 154-058198,False,14.92-15.30,14.9,15.3,EA,4.32776,,2458565.65
RMH-HMB112,7088,UCAC4 154-061240,False,11.63-11.70,11.7,11.7,L,-1,,
RMH-HMB113,7157,UCAC4 154-061391,False,13.94-14.42,13.9,14.4,EA,4.42870,,2458563.8
RMH-HMB114,7204,UCAC4 154-058678,False,11.30-11.38,11.3,11.4,GDOR,1.08784,,2458566.49
RMH-HMB115,7258,UCAC4 154-059010,False,15.26-15.81,15.2,15.8,EW,0.48820,,2458566.335
RMH-HMB116,8449,UCAC4 154-059291,False,12.69-12.78,12.7,12.8,BY?,2.89995,,2458565.5
RMH-HMB117,9191,UCAC4 153-060414,False,12.97-13.29,13.0,13.3,EA,5.06009,,2458563.0
RMH-HMB118,9262,UCAC4 153-062681,False,15.67-16.39,15.7,16.4,EW,0.62046,,2458566.85
RMH-HMB119,9309,UCAC4 153-060144,False,14.82-15.18,14.8,15.2,EW,0.28179,,2458566.6
RMH-HMB120,9361,UCAC4 153-062727,False,14.69-15.36,14.7,15.4,EB,1.58983,,2458566.4
RMH-HMB121,9387,UCAC4 153-062063,False,15.40-16.35,15.4,16.4,EB,1.45879,,2458566.0
RMH-HMB122,9539,UCAC4 153-060411,False,15.59-16.58,13.8,13.9,L,-1,,
RMH-HMB123,31601,UCAC4 153-062063,False,15.59-16.58,15.6,16.6,EB,1.45879,,2458566.72
RMH-HMB124,10159,UCAC4 156-057022,False,15.34-16.48,14.3,14.5,L,-1,,
RMH-HMB125,20231,UCAC4 153-062855,False,12.04-12.33,12.0,12.3,EA,4.19297,,2458566.5
RMH-HMB126,20239,UCAC4 154-061509,False,12.77-12.87,12.8,12.9,DSCT,0.13509,,2458566.45
RMH-HMB127,20267,UCAC4 155-062137,False,13.28-13.38,13.3,13.4,BY?,2.12630,,2458565.2
RMH-HMB128,20301,UCAC4 155-062126,False,13.85-14.01,13.8,14.0,ACV?,5.34712,,2458567.4
RMH-HMB129,20328,UCAC4 156-058698,False,14.18-14.35,14.2,14.3,EW,0.59233,,2458566.68
RMH-HMB130,20420,UCAC4 154-060995,False,14.85-15.47,14.8,15.5,EB,4.24448,,2458566.48
RMH-HMB131,20520,UCAC4 155-062052,False,15.24-15.95,15.2,15.9,EA,2.85103,,2458565.9
RMH-HMB132,8533,UCAC4 154-060493,False,11.03-11.22,11.0,11.2,GCAS,-1,,
RMH-HMB133,6311,UCAC4 154-058369,False,11.08-11.14,11.1,11.1,?,1.81023,,2458566.5
RMH-HMB134,3879,UCAC4 155-059897,False,11.84-11.91,11.8,11.9,?,19.87281,,2458575.0
RMH-HMB135,8557,UCAC4 154-060370,False,12.52-12.64,12.5,12.6,?,0.19932,,2458566.43
RMH-HMB136,4244,UCAC4 155-061145,False,13.01-13.13,13.0,13.1,BY?,1.63867,,2458566.4
RMH-HMB137,7016,UCAC4 154-059101,False,13.06-13.18,13.1,13.2,L,-1,,
RMH-HMB138,5786,UCAC4 154-059679,False,13.32-13.58,13.3,13.6,EW,4.05734,,2458568.3
RMH-HMB139,8884,UCAC4 153-061562,False,13.34-13.46,13.3,13.4,BY?,4.60087,,2458566.2
RMH-HMB140,1404,UCAC4 157-055591,False,13.41-13.51,13.4,13.5,L,-1,,
RMH-HMB141,3172,UCAC4 155-061527,False,13.50-13.59,13.5,13.6,?,1.12891,,2458566.49
RMH-HMB142,4068,UCAC4 155-061740,False,13.95-14.17,13.9,14.2,?,1.11747,,2458565.65
RMH-HMB143,4635,UCAC4 155-061801,False,14.27-14.42,14.3,14.4,L,-1,,
RMH-HMB144,1538,UCAC4 156-058123,False,14.41-14.62,14.4,14.6,L,-1,,
RMH-HMB145,7437,UCAC4 154-060778,False,14.87-15.17,14.9,15.2,L,-1,,
