#TYPE=EXTENDED
#OBSCODE=HMB
#SOFTWARE=https://github.com/mrosseel/vast-automation
#DELIM=,
#DATE=JD
#OBSTYPE=CCD
#Observation site Latitude = -22 57 13
#Observation site Longitude = -68 10 43
#NAME,DATE,MAG,MERR,FILT,TRANS,MTYPE,CNAME,CMAG,KNAME,KMAG,AMASS,GROUP,CHART,NOTES
UCAC4 154-058678,2458566.49058,11.324,0.006,V,NO,STD,ENSEMBLE,na,UCAC4 155-059573,17.407,1.65,na,na,Standard mag: K = 11.964
UCAC4 154-058678,2458566.49363,11.329,0.006,V,NO,STD,ENSEMBLE,na,UCAC4 155-059573,17.403,1.63,na,na,Standard mag: K = 11.964
UCAC4 154-058678,2458566.49670,11.325,0.006,V,NO,STD,ENSEMBLE,na,UCAC4 155-059573,17.392,1.61,na,na,Standard mag: K = 11.964
UCAC4 154-058678,2458566.49976,11.333,0.006,V,NO,STD,ENSEMBLE,na,UCAC4 155-059573,17.390,1.60,na,na,Standard mag: K = 11.964
UCAC4 154-058678,2458566.50279,11.324,0.006,V,NO,STD,ENSEMBLE,na,UCAC4 155-059573,17.398,1.58,na,na,Standard mag: K = 11.964
UCAC4 154-058678,2458566.50587,11.331,0.006,V,NO,STD,ENSEMBLE,na,UCAC4 155-059573,17.388,1.56,na,na,Standard mag: K = 11.964
UCAC4 154-058678,2458566.50894,11.337,0.006,V,NO,STD,ENSEMBLE,na,UCAC4 155-059573,17.402,1.54,na,na,Standard mag: K = 11.964
UCAC4 154-058678,2458566.51196,11.320,0.006,V,NO,STD,ENSEMBLE,na,UCAC4 155-059573,17.386,1.53,na,na,Standard mag: K = 11.964
UCAC4 154-058678,2458566.51502,11.326,0.006,V,NO,STD,ENSEMBLE,na,UCAC4 155-059573,17.391,1.51,na,na,Standard mag: K = 11.964
UCAC4 154-058678,2458566.51808,11.330,0.006,V,NO,STD,ENSEMBLE,na,UCAC4 155-059573,17.413,1.50,na,na,Standard mag: K = 11.964
