# resultdir: /home/josch/data/txcar/result/2019/, vastdir: /home/josch/data/txcar/vast/2019/, vsx stars: 0, other stars: 60
# our_name,ucac4_name,ucac4_ra,ucac4_dec,minmax,min,max,var_type,period,period_err,epoch
RMH-HMB86,UCAC4 153-060597,164.6082719,-59.4740575,12.45-12.60,12.4,12.6,L,-1,,
RMH-HMB87,UCAC4 153-062649,165.3885069,-59.4920969,15.08-15.69,15.1,15.7,EW,0.46750,,2458566.14
RMH-HMB88,UCAC4 157-056548,165.0140817,-58.7530372,13.46-13.61,13.5,13.6,L,-1,,
RMH-HMB89,UCAC4 157-056769,165.1393569,-58.7892961,14.89-15.23,14.9,15.2,L,-1,,
RMH-HMB90,UCAC4 157-056006,164.4253231,-58.7937783,13.89-14.01,13.9,14.0,L,-1,,
RMH-HMB91,UCAC4 156-056927,164.7055344,-58.8049464,11.28-11.37,11.3,11.4,GDOR,0.52049,,2458560.0
RMH-HMB92,UCAC4 156-056531,164.4335742,-58.8139856,12.80-12.91,12.8,12.9,L,-1,,
RMH-HMB93,UCAC4 156-057018,164.7621617,-58.8444956,13.65-13.77,13.7,13.8,L,-1,,
RMH-HMB94,UCAC4 155-059706,164.3354003,-59.0283003,12.42-12.51,12.4,12.5,L,-1,,
RMH-HMB95,UCAC4 155-061726,165.3457669,-59.0655308,13.51-13.59,13.5,13.6,BY?,11.28474,,
RMH-HMB96,UCAC4 155-059772,164.3742522,-59.0538922,14.81-15.18,14.8,15.2,EA,0.97933,,2458566.56
RMH-HMB97,UCAC4 155-059227,164.0225386,-59.0678558,13.78-13.92,13.8,13.9,L,-1,,
RMH-HMB98,UCAC4 155-061977,165.4896164,-59.1209456,14.22-14.92,14.2,14.8,L,-1,,
RMH-HMB99,UCAC4 155-061348,165.1190650,-59.1216556,13.36-13.45,13.4,13.4,BY?,3.34215,,2458564.8
RMH-HMB100,UCAC4 155-061079,164.9931053,-59.1320531,13.15-13.27,13.2,13.2,L,-1,,
RMH-HMB101,UCAC4 155-060388,164.6857800,-59.1295817,12.56-12.62,12.6,12.6,GDOR,0.29461,,2458566.4
RMH-HMB102,UCAC4 154-061328,165.4461075,-59.2071475,13.27-13.69,13.3,13.6,CEP,24.39024,,2458559.0
RMH-HMB103,UCAC4 154-061079,165.3358781,-59.2025247,15.14-15.76,15.2,15.6,EW,0.29762,,2458566.38
RMH-HMB104,UCAC4 155-060022,164.5272311,-59.1924953,14.89-15.20,14.9,15.2,EA,2.56623,,2458566.7
RMH-HMB105,UCAC4 154-059149,164.5535714,-59.2362911,12.93-13.00,12.9,13.0,GDOR?,0.57708,,2458566.49
