# resultdir: /home/josch/data/txcar/result/2019/, vastdir: /home/josch/data/txcar/vast/2019/, vsx stars: 0, other stars: 60
# our_name,ra,dec,ucac4_name,ucac4_force,minmax,min,max,var_type,period,period_err,epoch
RMH-HMB86,164.6090312,-59.4735913,UCAC4 153-060597,False,12.45-12.60,12.4,12.6,L,-1,,
RMH-HMB87,165.3887583,-59.5006144,UCAC4 153-062649,False,15.08-15.69,15.1,15.7,EW,0.46750,,2458566.14
RMH-HMB88,165.0163395,-58.7505042,UCAC4 157-056548,False,13.46-13.61,13.5,13.6,L,-1,,
RMH-HMB89,165.1424882,-58.7873849,UCAC4 157-056769,False,14.89-15.23,14.9,15.2,L,-1,,
RMH-HMB90,164.4265503,-58.7922887,UCAC4 157-056006,False,13.89-14.01,13.9,14.0,L,-1,,
RMH-HMB91,164.7065974,-58.8031673,UCAC4 156-056927,False,11.28-11.37,11.3,11.4,GDOR,0.52049,,2458560.0
RMH-HMB92,164.4349601,-58.8126944,UCAC4 156-056531,False,12.80-12.91,12.8,12.9,L,-1,,
RMH-HMB93,164.7632808,-58.8430706,UCAC4 156-057018,False,13.65-13.77,13.7,13.8,L,-1,,
RMH-HMB94,164.3380046,-59.0279166,UCAC4 155-059706,False,12.42-12.51,12.4,12.5,L,-1,,
RMH-HMB95,165.3494168,-59.0668454,UCAC4 155-061726,False,13.51-13.59,13.5,13.6,BY?,11.28474,,
RMH-HMB96,164.3767758,-59.0533880,UCAC4 155-059772,False,14.81-15.18,14.8,15.2,EA,0.97933,,2458566.56
RMH-HMB97,164.0255661,-59.0688517,UCAC4 155-059227,False,13.78-13.92,13.8,13.9,L,-1,,
RMH-HMB98,165.4918674,-59.1223832,UCAC4 155-061977,False,14.22-14.92,14.2,14.8,L,-1,,
RMH-HMB99,165.1205016,-59.1218874,UCAC4 155-061348,False,13.36-13.45,13.4,13.4,BY?,3.34215,,2458564.8
RMH-HMB100,164.9938772,-59.1316949,UCAC4 155-061079,False,13.15-13.27,13.2,13.2,L,-1,,
RMH-HMB101,164.6871185,-59.1286050,UCAC4 155-060388,False,12.56-12.62,12.6,12.6,GDOR,0.29461,,2458566.4
RMH-HMB102,165.4438537,-59.2079256,UCAC4 154-061328,False,13.27-13.69,13.3,13.6,CEP,24.39024,,2458559.0
RMH-HMB103,165.3337295,-59.2031079,UCAC4 154-061079,False,15.14-15.76,15.2,15.6,EW,0.29762,,2458566.38
RMH-HMB104,164.5270936,-59.1946801,UCAC4 155-060022,False,14.89-15.20,14.9,15.2,EA,2.56623,,2458566.7
RMH-HMB105,164.5551736,-59.2351001,UCAC4 154-059149,False,12.93-13.00,12.9,13.0,GDOR?,0.57708,,2458566.49
RMH-HMB106,165.5080651,-59.2856804,UCAC4 154-061447,False,13.20-13.45,13.5,13.4,L,-1,,
RMH-HMB107,164.6358945,-59.2621122,UCAC4 154-059353,False,14.41-14.69,14.4,14.7,L,-1,,
RMH-HMB108,164.9946119,-59.2824593,UCAC4 154-060284,False,11.67-11.72,11.7,11.7,DSCT,0.07427,,2458566.395
RMH-HMB109,165.4863726,-59.3009508,UCAC4 154-061400,False,14.46-14.72,14.4,14.7,L,-1,,
RMH-HMB110,165.0807375,-59.2986146,UCAC4 154-060486,False,13.06-13.12,13.1,13.1,GDOR,0.73421,,2458566.43
RMH-HMB111,164.0602723,-59.2680073,UCAC4 154-058198,False,14.92-15.30,14.9,15.3,EA,4.32776,,2458565.65
RMH-HMB112,165.4126250,-59.3098410,UCAC4 154-061240,False,11.63-11.70,11.7,11.7,L,-1,,
RMH-HMB113,165.4771346,-59.3118867,UCAC4 154-061391,False,13.94-14.42,13.9,14.4,EA,4.42870,,2458563.8
RMH-HMB114,164.3273120,-59.2826900,UCAC4 154-058678,False,11.30-11.38,11.3,11.4,GDOR,1.08784,,2458566.49
RMH-HMB115,164.4939116,-59.2901901,UCAC4 154-059010,False,15.26-15.81,15.2,15.8,EW,0.48820,,2458566.335
RMH-HMB116,164.6099986,-59.3748204,UCAC4 154-059291,False,12.69-12.78,12.7,12.8,BY?,2.89995,,2458565.5
RMH-HMB117,164.5346592,-59.4355939,UCAC4 153-060414,False,12.97-13.29,13.0,13.3,EA,5.06009,,2458563.0
RMH-HMB118,165.4059678,-59.4518590,UCAC4 153-062681,False,15.67-16.39,15.7,16.4,EW,0.62046,,2458566.85
RMH-HMB119,164.4319456,-59.4329509,UCAC4 153-060144,False,14.82-15.18,14.8,15.2,EW,0.28179,,2458566.6
