#TYPE=EXTENDED
#OBSCODE=RMH
#SOFTWARE=https://github.com/mrosseel/vast-automation
#DELIM=,
#DATE=JD
#OBSTYPE=CCD
#Observation site Latitude = 50 49 2.226
#Observation site Longitude = 2 54 45.3348
#NAME,DATE,MAG,MERR,FILT,TRANS,MTYPE,CNAME,CMAG,KNAME,KMAG,AMASS,GROUP,CHART,NOTES
UCAC4 232-149041,2456412.80236,12.327,0.008,V,NO,STD,ENSEMBLE,na,UCAC4 231-155979,18.991,-3.41,na,na,Standard mag: K = 12.668
UCAC4 232-149041,2456412.80957,12.349,0.009,V,NO,STD,ENSEMBLE,na,UCAC4 231-155979,18.976,-3.22,na,na,Standard mag: K = 12.668
UCAC4 232-149041,2456412.81317,12.335,0.008,V,NO,STD,ENSEMBLE,na,UCAC4 231-155979,19.003,-3.12,na,na,Standard mag: K = 12.668
UCAC4 232-149041,2456412.81677,12.328,0.008,V,NO,STD,ENSEMBLE,na,UCAC4 231-155979,18.990,-3.04,na,na,Standard mag: K = 12.668
UCAC4 232-149041,2456412.82038,12.322,0.008,V,NO,STD,ENSEMBLE,na,UCAC4 231-155979,18.996,-2.95,na,na,Standard mag: K = 12.668
UCAC4 232-149041,2456412.82439,12.334,0.008,V,NO,STD,ENSEMBLE,na,UCAC4 231-155979,18.997,-2.86,na,na,Standard mag: K = 12.668
UCAC4 232-149041,2456412.82854,12.326,0.008,V,NO,STD,ENSEMBLE,na,UCAC4 231-155979,18.986,-2.78,na,na,Standard mag: K = 12.668
UCAC4 232-149041,2456412.83256,12.321,0.008,V,NO,STD,ENSEMBLE,na,UCAC4 231-155979,18.995,-2.70,na,na,Standard mag: K = 12.668
UCAC4 232-149041,2456412.83656,12.321,0.008,V,NO,STD,ENSEMBLE,na,UCAC4 231-155979,18.985,-2.62,na,na,Standard mag: K = 12.668
UCAC4 232-149041,2456412.84058,12.320,0.008,V,NO,STD,ENSEMBLE,na,UCAC4 231-155979,18.979,-2.55,na,na,Standard mag: K = 12.668
UCAC4 232-149041,2456412.84459,12.338,0.008,V,NO,STD,ENSEMBLE,na,UCAC4 231-155979,18.992,-2.48,na,na,Standard mag: K = 12.668
UCAC4 232-149041,2456412.84819,12.324,0.008,V,NO,STD,ENSEMBLE,na,UCAC4 231-155979,18.986,-2.42,na,na,Standard mag: K = 12.668
