# resultdir: /home/josch/data/wwcra/result/2013-2017_github/, vastdir: /home/josch/data/wwcra/vast/2013-2017_ref1893/, vsx stars: 0, other stars: 29
# our_name,ucac4_name,ucac4_ra,ucac4_dec,minmax,min,max,var_type,period,period_err,epoch
RMH-HMB-18,UCAC4 232-148844,271.8483667,-43.6072464,14.08-15.62,15.2,14.5,L,57.77498,,
RMH-HMB-19,UCAC4 230-161913,271.8500050,-44.0558389,14.27-14.80,14.3,14.8,EA,4.66418,0.03100,2456413.44
RMH-HMB-20,UCAC4 231-153888,270.8201781,-43.8952722,13.10-13.38,13.1,13.4,L,30.50799,,
RMH-HMB-21,UCAC4 231-154077,270.9098614,-43.9687425,13.95-14.53,14.4,14.1,L,36.90000,6.80000,2456805.0
RMH-HMB-22,UCAC4 232-147029,270.9623986,-43.7026033,12.53-13.37,13.3,12.8,L,39.70000,0.25000,2456403.0
RMH-HMB-23,UCAC4 233-155707,271.0179094,-43.5495756,12.82-13.02,13.0,12.8,RRc,0.22753,0.00007,2456412.85
RMH-HMB-24,UCAC4 233-155936,271.1162856,-43.5794489,13.01-13.48,13.0,13.5,RV,150.48000,0.44000,2456474.0
RMH-HMB-25,UCAC4 229-161252,271.1206603,-44.2096467,12.52-12.85,12.5,12.8,EA,221.88000,,2456835.0
RMH-HMB-26,UCAC4 232-147348,271.1384475,-43.6770522,13.02-13.30,13.0,13.3,L,8.51690,,
RMH-HMB-27,UCAC4 231-154898,271.2882203,-43.9184772,13.01-13.26,13.2,13.1,SR,17.80000,0.00100,2456412.7
RMH-HMB-28,UCAC4 230-160837,271.3343122,-44.0687456,11.41-11.62,11.4,11.6,SR,16.08262,,
RMH-HMB-29,UCAC4 230-160877,271.3505686,-44.1067761,12.75-13.26,12.8,13.3,L,50.35841,,
RMH-HMB-30,UCAC4 230-160978,271.4011736,-44.1818567,15.8,16.9,15.8,HADS,0.10303,0.00002,2456413.3
RMH-HMB-31,UCAC4 231-155216,271.4325175,-43.9338956,12.14-12.54,12.1,12.5,L,54.99823,,
RMH-HMB-32,UCAC4 232-148032,271.4491967,-43.7683689,17.2,17.2,15.9,EW,0.29591,0.00002,2456412.32
RMH-HMB-33,UCAC4 230-161242,271.5299247,-44.0013114,15.4,15.4,14.8,L,20.64000,0.46000,2456816.0
RMH-HMB-34,UCAC4 230-161258,271.5347267,-44.0503006,13.48-13.90,13.9,13.5,L,1.04586,0.00044,2456412.35
RMH-HMB-35,UCAC4 230-161332,271.5725272,-44.0819844,14.84-15.70,13.8,13.4,SR,19.77300,0.05000,2456412.73057
RMH-HMB-36,UCAC4 232-148444,271.6415786,-43.7774603,14.93-16.41,16.1,15.3,HADS,0.07140,0.00025,2456412.47
RMH-HMB-37,UCAC4 233-157277,271.7181164,-43.5589183,13.7,13.3,13.3,HADS,0.17821,0.00001,2456412.8
RMH-HMB-38,UCAC4 233-157415,271.7815286,-43.5753903,13.22-13.78,13.2,13.8,L,41.12000,0.24000,2456420.0
RMH-HMB-39,UCAC4 230-162017,271.9031125,-44.0873644,11.80-12.04,11.8,12.0,SR,17.08000,0.83000,2456421.0
RMH-HMB-40,UCAC4 230-160089,270.9705039,-44.0723286,17.2,17.2,16.0,EW,0.33077,0.00002,2456412.49
RMH-HMB-41,UCAC4 233-156541,271.3881397,-43.4682753,13.23-13.64,13.2,13.6,L,20.32336,,
RMH-HMB-42,UCAC4 231-155679,271.6596497,-43.8745581,15.9,14.7,15.9,BY,1.63727,0.00057,2456411.85
RMH-HMB-43,UCAC4 232-149041,271.9307797,-43.6936683,12.12-12.39,12.1,12.4,L,0.98281,,
RMH-HMB-44,UCAC4 231-156279,271.9572350,-43.9463969,14.55,14.4,15.0,RRAB,0.57784,0.00009,2456411.92
RMH-HMB-45,UCAC4 232-149297,271.9840692,-43.7324828,11.95-12.59,11.9,12.6,L,43.45986,,
RMH-HMB-46,UCAC4 232-149330,271.9874086,-43.7812100,14.4,13.8,14.5,EW,0.36896,0.00001,2456459.69617
