# resultdir: /home/josch/data/wwcra/result/2013-2017_github/, vastdir: /home/josch/data/wwcra/vast/2013-2017_ref1893/, vsx stars: 0, other stars: 29
# our_name,ra,dec,ucac4_name,ucac4_force,minmax,min,max,var_type,period,period_err,epoch
RMH-HMB-18,271.8498003,-43.6076162,UCAC4 232-148844,False,14.08-15.62,15.2,14.5,L,57.77498,,
RMH-HMB-19,271.8507416,-44.0560539,UCAC4 230-161913,False,14.27-14.80,14.3,14.8,EA,4.66418,0.03100,2456413.44
RMH-HMB-20,270.8213010,-43.8953203,UCAC4 231-153888,False,13.10-13.38,13.1,13.4,L,30.50799,,
RMH-HMB-21,270.9106425,-43.9689899,UCAC4 231-154077,False,13.95-14.53,14.4,14.1,L,36.90000,6.80000,2456805.0
RMH-HMB-22,270.9628877,-43.7031505,UCAC4 232-147029,False,12.53-13.37,13.3,12.8,L,39.70000,0.25000,2456403.0
RMH-HMB-23,271.0176896,-43.5497314,UCAC4 233-155707,False,12.82-13.02,13.0,12.8,RRc,0.22753,0.00007,2456412.85
RMH-HMB-24,271.1169344,-43.5801892,UCAC4 233-155936,False,13.01-13.48,13.0,13.5,RV,150.48000,0.44000,2456474.0
RMH-HMB-25,271.1214224,-44.2104770,UCAC4 229-161252,False,12.52-12.85,12.5,12.8,EA,221.88000,,2456835.0
RMH-HMB-26,271.1397774,-43.6779762,UCAC4 232-147348,False,13.02-13.30,13.0,13.3,L,8.51690,,
RMH-HMB-27,271.2897599,-43.9186960,UCAC4 231-154898,False,13.01-13.26,13.2,13.1,SR,17.80000,0.00100,2456412.7
RMH-HMB-28,271.3345086,-44.0688048,UCAC4 230-160837,False,11.41-11.62,11.4,11.6,SR,16.08262,,
RMH-HMB-29,271.3516819,-44.1067576,UCAC4 230-160877,False,12.75-13.26,12.8,13.3,L,50.35841,,
RMH-HMB-30,271.4021375,-44.1821920,UCAC4 230-160978,False,15.8,16.9,15.8,HADS,0.10303,0.00002,2456413.3
RMH-HMB-31,271.4325461,-43.9342246,UCAC4 231-155216,False,12.14-12.54,12.1,12.5,L,54.99823,,
RMH-HMB-32,271.4499675,-43.7693793,UCAC4 232-148032,False,17.2,17.2,15.9,EW,0.29591,0.00002,2456412.32
RMH-HMB-33,271.5306887,-44.0008165,UCAC4 230-161242,False,15.4,15.4,14.8,L,20.64000,0.46000,2456816.0
RMH-HMB-34,271.5350211,-44.0504096,UCAC4 230-161258,False,13.48-13.90,13.9,13.5,L,1.04586,0.00044,2456412.35
RMH-HMB-35,271.5731215,-44.0819237,UCAC4 230-161332,False,14.84-15.70,13.8,13.4,SR,19.77300,0.05000,2456412.73057
RMH-HMB-36,271.6419217,-43.7781915,UCAC4 232-148444,False,14.93-16.41,16.1,15.3,HADS,0.07140,0.00025,2456412.47
RMH-HMB-37,271.7191978,-43.5596179,UCAC4 233-157277,False,13.7,13.3,13.3,HADS,0.17821,0.00001,2456412.8
RMH-HMB-38,271.7828236,-43.5758612,UCAC4 233-157415,False,13.22-13.78,13.2,13.8,L,41.12000,0.24000,2456420.0
RMH-HMB-39,271.9043818,-44.0878007,UCAC4 230-162017,False,11.80-12.04,11.8,12.0,SR,17.08000,0.83000,2456421.0
RMH-HMB-40,270.9712470,-44.0727851,UCAC4 230-160089,False,17.2,17.2,16.0,EW,0.33077,0.00002,2456412.49
RMH-HMB-41,271.3889231,-43.4690243,UCAC4 233-156541,False,13.23-13.64,13.2,13.6,L,20.32336,,
RMH-HMB-42,271.6600202,-43.8745263,UCAC4 231-155679,False,15.9,14.7,15.9,BY,1.63727,0.00057,2456411.85
RMH-HMB-43,271.9319740,-43.6938946,UCAC4 232-149041,False,12.12-12.39,12.1,12.4,L,0.98281,,
RMH-HMB-44,271.9580015,-43.9465410,UCAC4 231-156279,False,14.55,14.4,15.0,RRAB,0.57784,0.00009,2456411.92
RMH-HMB-45,271.9852023,-43.7325851,UCAC4 232-149297,False,11.95-12.59,11.9,12.6,L,43.45986,,
RMH-HMB-46,271.9883104,-43.7814156,UCAC4 232-149330,False,14.4,13.8,14.5,EW,0.36896,0.00001,2456459.69617
