#TYPE=EXTENDED
#OBSCODE=RMH
#SOFTWARE=https://github.com/mrosseel/vast-automation
#DELIM=,
#DATE=JD
#OBSTYPE=CCD
#Observation site Latitude = -22 57 10
#Observation site Longitude = -68 10 49
#NAME,DATE,MAG,MERR,FILT,TRANS,MTYPE,CNAME,CMAG,KNAME,KMAG,AMASS,GROUP,CHART,NOTES
UCAC4 232-147348,2456412.73057,13.147,0.012,V,NO,STD,ENSEMBLE,na,UCAC4 232-147150,18.880,1.26,na,na,Standard mag: K = 12.592
UCAC4 232-147348,2456412.73417,13.130,0.012,V,NO,STD,ENSEMBLE,na,UCAC4 232-147150,18.882,1.25,na,na,Standard mag: K = 12.592
UCAC4 232-147348,2456412.73774,13.107,0.012,V,NO,STD,ENSEMBLE,na,UCAC4 232-147150,18.882,1.23,na,na,Standard mag: K = 12.592
UCAC4 232-147348,2456412.74133,13.118,0.013,V,NO,STD,ENSEMBLE,na,UCAC4 232-147150,18.900,1.22,na,na,Standard mag: K = 12.592
UCAC4 232-147348,2456412.74492,13.096,0.013,V,NO,STD,ENSEMBLE,na,UCAC4 232-147150,18.880,1.21,na,na,Standard mag: K = 12.592
UCAC4 232-147348,2456412.74850,13.105,0.014,V,NO,STD,ENSEMBLE,na,UCAC4 232-147150,18.895,1.20,na,na,Standard mag: K = 12.592
UCAC4 232-147348,2456412.75208,13.122,0.014,V,NO,STD,ENSEMBLE,na,UCAC4 232-147150,18.894,1.19,na,na,Standard mag: K = 12.592
UCAC4 232-147348,2456412.75567,13.130,0.013,V,NO,STD,ENSEMBLE,na,UCAC4 232-147150,18.873,1.18,na,na,Standard mag: K = 12.592
UCAC4 232-147348,2456412.75926,13.133,0.012,V,NO,STD,ENSEMBLE,na,UCAC4 232-147150,18.880,1.17,na,na,Standard mag: K = 12.592
UCAC4 232-147348,2456412.76285,13.134,0.012,V,NO,STD,ENSEMBLE,na,UCAC4 232-147150,18.881,1.16,na,na,Standard mag: K = 12.592
UCAC4 232-147348,2456412.76644,13.163,0.012,V,NO,STD,ENSEMBLE,na,UCAC4 232-147150,18.897,1.15,na,na,Standard mag: K = 12.592
UCAC4 232-147348,2456412.77002,13.146,0.012,V,NO,STD,ENSEMBLE,na,UCAC4 232-147150,18.884,1.14,na,na,Standard mag: K = 12.592
UCAC4 232-147348,2456412.77361,13.138,0.012,V,NO,STD,ENSEMBLE,na,UCAC4 232-147150,18.873,1.13,na,na,Standard mag: K = 12.592
UCAC4 232-147348,2456412.77721,13.129,0.013,V,NO,STD,ENSEMBLE,na,UCAC4 232-147150,18.871,1.12,na,na,Standard mag: K = 12.592
UCAC4 232-147348,2456412.78080,13.132,0.012,V,NO,STD,ENSEMBLE,na,UCAC4 232-147150,18.882,1.12,na,na,Standard mag: K = 12.592
UCAC4 232-147348,2456412.78440,13.128,0.013,V,NO,STD,ENSEMBLE,na,UCAC4 232-147150,18.874,1.11,na,na,Standard mag: K = 12.592
