#TYPE=EXTENDED
#OBSCODE=RMH
#SOFTWARE=https://github.com/mrosseel/vast-automation
#DELIM=,
#DATE=JD
#OBSTYPE=CCD
#Observation site Latitude = -22 57 10
#Observation site Longitude = -68 10 49
#NAME,DATE,MAG,MERR,FILT,TRANS,MTYPE,CNAME,CMAG,KNAME,KMAG,AMASS,GROUP,CHART,NOTES
UCAC4 233-157415,2456817.58259,13.456,0.019,V,NO,STD,ENSEMBLE,na,UCAC4 232-148303,18.962,1.49,na,na,Standard mag: K = 13.037
UCAC4 233-157415,2456817.58508,13.470,0.019,V,NO,STD,ENSEMBLE,na,UCAC4 232-148303,18.957,1.48,na,na,Standard mag: K = 13.037
UCAC4 233-157415,2456817.58756,13.420,0.019,V,NO,STD,ENSEMBLE,na,UCAC4 232-148303,18.960,1.46,na,na,Standard mag: K = 13.037
UCAC4 233-157415,2456817.59006,13.443,0.019,V,NO,STD,ENSEMBLE,na,UCAC4 232-148303,18.957,1.44,na,na,Standard mag: K = 13.037
UCAC4 233-157415,2456817.59255,13.431,0.018,V,NO,STD,ENSEMBLE,na,UCAC4 232-148303,18.945,1.43,na,na,Standard mag: K = 13.037
UCAC4 233-157415,2456817.59505,13.455,0.018,V,NO,STD,ENSEMBLE,na,UCAC4 232-148303,18.944,1.41,na,na,Standard mag: K = 13.037
UCAC4 233-157415,2456817.59755,13.473,0.018,V,NO,STD,ENSEMBLE,na,UCAC4 232-148303,18.961,1.39,na,na,Standard mag: K = 13.037
UCAC4 233-157415,2456817.60001,13.436,0.018,V,NO,STD,ENSEMBLE,na,UCAC4 232-148303,18.950,1.38,na,na,Standard mag: K = 13.037
UCAC4 233-157415,2456817.60248,13.422,0.018,V,NO,STD,ENSEMBLE,na,UCAC4 232-148303,18.964,1.36,na,na,Standard mag: K = 13.037
UCAC4 233-157415,2456817.60495,13.428,0.017,V,NO,STD,ENSEMBLE,na,UCAC4 232-148303,18.938,1.35,na,na,Standard mag: K = 13.037
UCAC4 233-157415,2456817.60744,13.446,0.018,V,NO,STD,ENSEMBLE,na,UCAC4 232-148303,18.956,1.34,na,na,Standard mag: K = 13.037
UCAC4 233-157415,2456817.60993,13.437,0.016,V,NO,STD,ENSEMBLE,na,UCAC4 232-148303,18.965,1.33,na,na,Standard mag: K = 13.037
UCAC4 233-157415,2456817.61241,13.441,0.017,V,NO,STD,ENSEMBLE,na,UCAC4 232-148303,18.971,1.31,na,na,Standard mag: K = 13.037
UCAC4 233-157415,2456817.61488,13.438,0.016,V,NO,STD,ENSEMBLE,na,UCAC4 232-148303,18.966,1.30,na,na,Standard mag: K = 13.037
UCAC4 233-157415,2456817.61736,13.470,0.015,V,NO,STD,ENSEMBLE,na,UCAC4 232-148303,18.957,1.29,na,na,Standard mag: K = 13.037
UCAC4 233-157415,2456817.61986,13.422,0.015,V,NO,STD,ENSEMBLE,na,UCAC4 232-148303,18.968,1.28,na,na,Standard mag: K = 13.037
UCAC4 233-157415,2456817.62234,13.456,0.015,V,NO,STD,ENSEMBLE,na,UCAC4 232-148303,18.962,1.27,na,na,Standard mag: K = 13.037
UCAC4 233-157415,2456817.62483,13.449,0.015,V,NO,STD,ENSEMBLE,na,UCAC4 232-148303,18.976,1.26,na,na,Standard mag: K = 13.037
UCAC4 233-157415,2456817.62731,13.447,0.015,V,NO,STD,ENSEMBLE,na,UCAC4 232-148303,18.969,1.25,na,na,Standard mag: K = 13.037
UCAC4 233-157415,2456817.62980,13.441,0.015,V,NO,STD,ENSEMBLE,na,UCAC4 232-148303,18.967,1.24,na,na,Standard mag: K = 13.037
UCAC4 233-157415,2456817.63230,13.428,0.015,V,NO,STD,ENSEMBLE,na,UCAC4 232-148303,18.980,1.23,na,na,Standard mag: K = 13.037
UCAC4 233-157415,2456817.63480,13.450,0.015,V,NO,STD,ENSEMBLE,na,UCAC4 232-148303,18.977,1.22,na,na,Standard mag: K = 13.037
UCAC4 233-157415,2456817.63729,13.410,0.014,V,NO,STD,ENSEMBLE,na,UCAC4 232-148303,18.967,1.21,na,na,Standard mag: K = 13.037
UCAC4 233-157415,2456817.63978,13.411,0.015,V,NO,STD,ENSEMBLE,na,UCAC4 232-148303,18.983,1.20,na,na,Standard mag: K = 13.037
UCAC4 233-157415,2456817.64227,13.459,0.016,V,NO,STD,ENSEMBLE,na,UCAC4 232-148303,18.967,1.19,na,na,Standard mag: K = 13.037
UCAC4 233-157415,2456817.64476,13.445,0.015,V,NO,STD,ENSEMBLE,na,UCAC4 232-148303,18.980,1.19,na,na,Standard mag: K = 13.037
