#TYPE=EXTENDED
#OBSCODE=RMH
#SOFTWARE=https://github.com/mrosseel/vast-automation
#DELIM=,
#DATE=JD
#OBSTYPE=CCD
#Observation site Latitude = -22 57 10
#Observation site Longitude = -68 10 49
#NAME,DATE,MAG,MERR,FILT,TRANS,MTYPE,CNAME,CMAG,KNAME,KMAG,AMASS,GROUP,CHART,NOTES
UCAC4 232-147348,2456817.58259,13.244,0.016,V,NO,STD,ENSEMBLE,na,UCAC4 232-147663,18.887,1.48,na,na,Standard mag: K = 12.868
UCAC4 232-147348,2456817.58508,13.217,0.016,V,NO,STD,ENSEMBLE,na,UCAC4 232-147663,18.891,1.46,na,na,Standard mag: K = 12.868
UCAC4 232-147348,2456817.58756,13.221,0.016,V,NO,STD,ENSEMBLE,na,UCAC4 232-147663,18.877,1.45,na,na,Standard mag: K = 12.868
UCAC4 232-147348,2456817.59006,13.203,0.016,V,NO,STD,ENSEMBLE,na,UCAC4 232-147663,18.871,1.43,na,na,Standard mag: K = 12.868
UCAC4 232-147348,2456817.59255,13.225,0.016,V,NO,STD,ENSEMBLE,na,UCAC4 232-147663,18.887,1.41,na,na,Standard mag: K = 12.868
UCAC4 232-147348,2456817.59505,13.219,0.016,V,NO,STD,ENSEMBLE,na,UCAC4 232-147663,18.895,1.40,na,na,Standard mag: K = 12.868
UCAC4 232-147348,2456817.59755,13.241,0.015,V,NO,STD,ENSEMBLE,na,UCAC4 232-147663,18.873,1.38,na,na,Standard mag: K = 12.868
UCAC4 232-147348,2456817.60001,13.260,0.016,V,NO,STD,ENSEMBLE,na,UCAC4 232-147663,18.872,1.37,na,na,Standard mag: K = 12.868
UCAC4 232-147348,2456817.60248,13.259,0.016,V,NO,STD,ENSEMBLE,na,UCAC4 232-147663,18.876,1.36,na,na,Standard mag: K = 12.868
UCAC4 232-147348,2456817.60495,13.232,0.015,V,NO,STD,ENSEMBLE,na,UCAC4 232-147663,18.876,1.34,na,na,Standard mag: K = 12.868
UCAC4 232-147348,2456817.60744,13.262,0.015,V,NO,STD,ENSEMBLE,na,UCAC4 232-147663,18.867,1.33,na,na,Standard mag: K = 12.868
UCAC4 232-147348,2456817.60993,13.270,0.014,V,NO,STD,ENSEMBLE,na,UCAC4 232-147663,18.869,1.32,na,na,Standard mag: K = 12.868
UCAC4 232-147348,2456817.61241,13.259,0.015,V,NO,STD,ENSEMBLE,na,UCAC4 232-147663,18.863,1.30,na,na,Standard mag: K = 12.868
UCAC4 232-147348,2456817.61488,13.259,0.014,V,NO,STD,ENSEMBLE,na,UCAC4 232-147663,18.864,1.29,na,na,Standard mag: K = 12.868
UCAC4 232-147348,2456817.61736,13.238,0.013,V,NO,STD,ENSEMBLE,na,UCAC4 232-147663,18.891,1.28,na,na,Standard mag: K = 12.868
UCAC4 232-147348,2456817.61986,13.248,0.014,V,NO,STD,ENSEMBLE,na,UCAC4 232-147663,18.887,1.27,na,na,Standard mag: K = 12.868
UCAC4 232-147348,2456817.62234,13.259,0.013,V,NO,STD,ENSEMBLE,na,UCAC4 232-147663,18.898,1.26,na,na,Standard mag: K = 12.868
UCAC4 232-147348,2456817.62483,13.220,0.013,V,NO,STD,ENSEMBLE,na,UCAC4 232-147663,18.886,1.25,na,na,Standard mag: K = 12.868
UCAC4 232-147348,2456817.62731,13.228,0.013,V,NO,STD,ENSEMBLE,na,UCAC4 232-147663,18.882,1.24,na,na,Standard mag: K = 12.868
UCAC4 232-147348,2456817.62980,13.236,0.013,V,NO,STD,ENSEMBLE,na,UCAC4 232-147663,18.900,1.23,na,na,Standard mag: K = 12.868
UCAC4 232-147348,2456817.63230,13.212,0.013,V,NO,STD,ENSEMBLE,na,UCAC4 232-147663,18.891,1.22,na,na,Standard mag: K = 12.868
UCAC4 232-147348,2456817.63480,13.244,0.013,V,NO,STD,ENSEMBLE,na,UCAC4 232-147663,18.880,1.21,na,na,Standard mag: K = 12.868
UCAC4 232-147348,2456817.63729,13.241,0.013,V,NO,STD,ENSEMBLE,na,UCAC4 232-147663,18.885,1.21,na,na,Standard mag: K = 12.868
UCAC4 232-147348,2456817.63978,13.227,0.013,V,NO,STD,ENSEMBLE,na,UCAC4 232-147663,18.906,1.20,na,na,Standard mag: K = 12.868
UCAC4 232-147348,2456817.64227,13.246,0.014,V,NO,STD,ENSEMBLE,na,UCAC4 232-147663,18.903,1.19,na,na,Standard mag: K = 12.868
UCAC4 232-147348,2456817.64476,13.217,0.013,V,NO,STD,ENSEMBLE,na,UCAC4 232-147663,18.900,1.18,na,na,Standard mag: K = 12.868
UCAC4 232-147348,2456817.64723,13.235,0.013,V,NO,STD,ENSEMBLE,na,UCAC4 232-147663,18.887,1.18,na,na,Standard mag: K = 12.868
UCAC4 232-147348,2456817.64973,13.225,0.013,V,NO,STD,ENSEMBLE,na,UCAC4 232-147663,18.911,1.17,na,na,Standard mag: K = 12.868
UCAC4 232-147348,2456817.65223,13.205,0.013,V,NO,STD,ENSEMBLE,na,UCAC4 232-147663,18.887,1.16,na,na,Standard mag: K = 12.868
UCAC4 232-147348,2456817.65473,13.240,0.013,V,NO,STD,ENSEMBLE,na,UCAC4 232-147663,18.899,1.16,na,na,Standard mag: K = 12.868
